date,sector,sectorMarketCap,x,y,width,height
2025-05-20,Utilities,183172166019.26074,1191.255299696209,666.6485116318288,88.74470030379426,53.35148836817116
2025-05-21,Information Technology,13763473731654.416,0.0,0.0,501.5235328851756,720.0
2025-05-21,Communication Services,4781474392934.784,501.5235328851756,0.0,329.78504447067877,380.3878456842006
2025-05-21,Consumer Discretionary,4268924041118.113,501.5235328851756,380.3878456842006,329.78504447067877,339.6121543157993
2025-05-21,Financials,3820181593638.8555,831.3085773558544,0.0,237.96404232494626,421.1806633519325
2025-05-21,Health Care,3382934882539.388,1069.2726196808007,0.0,210.7273803191993,421.1806633519325
2025-05-21,Consumer Staples,2373618478215.918,831.3085773558544,421.1806633519325,208.40012310047612,298.8193366480675
2025-05-21,Industrials,1665070215424.583,1039.7087004563305,421.1806633519325,240.29129954366945,181.79848525154355
2025-05-21,Energy,681558414824.9766,1039.7087004563305,602.979148603476,152.8043032257846,117.02085139652397
2025-05-21,Materials,213733117105.95703,1192.5130036821151,602.979148603476,87.48699631788486,64.09498757040632
2025-05-21,Utilities,176488213507.43115,1192.5130036821151,667.0741361738824,87.48699631788857,52.925863826117656
2025-05-22,Information Technology,13793239366363.645,0.0,0.0,501.9984505002952,720.0
2025-05-22,Communication Services,4799919435991.414,501.9984505002952,0.0,331.2889915190695,379.66061183500284
2025-05-22,Consumer Discretionary,4302794635953.8213,501.9984505002952,379.66061183500284,331.2889915190695,340.33938816499716
2025-05-22,Financials,3823900068801.865,833.2874420193647,0.0,446.7125579806354,224.30914127460358
2025-05-22,Health Care,3364760136588.3574,833.2874420193647,224.30914127460358,262.40557654703287,336.0080250284298
2025-05-22,Consumer Staples,2363321664818.211,1095.6930185663975,224.30914127460358,184.3069814336025,336.0080250284298
2025-05-22,Industrials,1661634182851.8037,833.2874420193647,560.3171663030334,272.67529209236847,159.6828336969666
2025-05-22,Energy,678117043065.709,1105.9627341117332,560.3171663030334,111.27946493819009,159.6828336969666
2025-05-22,Materials,215375407750.8545,1217.2421990499233,560.3171663030334,62.75780095007683,89.92842667461773
2025-05-22,Utilities,167059342750.59937,1217.2421990499233,650.2455929776512,62.75780095007683,69.75440702234727
2025-05-23,Information Technology,13599739621466.957,0.0,0.0,499.20938476337074,720.0
2025-05-23,Communication Services,4752862991115.266,499.20938476337074,0.0,330.90564798846555,379.6083523468631
2025-05-23,Consumer Discretionary,4261852655805.2715,499.20938476337074,379.6083523468631,330.90564798846555,340.3916476531369
2025-05-23,Financials,3802645908565.838,830.1150327518362,0.0,238.90351296289498,420.6762513205327
2025-05-23,Health Care,3358208315864.1284,1069.0185457147313,0.0,210.98145428526874,420.6762513205327
2025-05-23,Consumer Staples,2370526831683.8047,830.1150327518362,420.6762513205327,209.30921257119562,299.3237486794673
2025-05-23,Industrials,1659537462509.235,1039.4242453230318,420.6762513205327,240.5757546769681,182.31392789139957
2025-05-23,Energy,680540898475.6465,1039.4242453230318,602.9901792119323,153.7151099392845,117.00982078806774
2025-05-23,Materials,215328490496.7041,1193.1393552623163,602.9901792119323,86.8606447376836,65.51837106174091
2025-05-23,Utilities,169228507415.25586,1193.1393552623163,668.5085502736732,86.86064473768691,51.491449726326834
2025-05-27,Information Technology,13949498638936.0,0.0,0.0,500.8454446342366,720.0
2025-05-27,Communication Services,4854317139231.333,500.8454446342366,0.0,332.5994680252095,377.2977552713696
2025-05-27,Consumer Discretionary,4409210913652.84,500.8454446342366,377.2977552713696,332.5994680252095,342.70224472863043
2025-05-27,Financials,3875898129750.135,833.4449126594461,0.0,446.5550873405539,224.3752440110762
2025-05-27,Health Care,3407657532356.251,833.4449126594461,224.3752440110762,262.3123572791518,335.8263871705417
2025-05-27,Consumer Staples,2393467594847.1445,1095.7572699385978,224.3752440110762,184.24273006140209,335.8263871705417
2025-05-27,Industrials,1686301029801.5974,833.4449126594461,560.2016311816179,272.797501919859,159.79836881838207
2025-05-27,Energy,684887204485.752,1106.2424145793052,560.2016311816179,110.79606498406218,159.79836881838207
2025-05-27,Materials,219575004784.79004,1217.0384795633674,560.2016311816179,62.96152043663272,90.1540662077695
